Manufacturer,Model,Description,Barrel Compression Cutoff (psi),Date Added
Miken,M1220A,Freak,1050,12/13/2017
Miken,MAZDCA,DC-41,1300,4/26/2021
Miken,MBBF4A,Freak USA,1300,5/22/2018
Miken,MBBFKA,Freak USA Border Battle Supermax,1300,5/24/2017
Miken,MBJ22A,Chaos Maxload Bradley Jones,1300,4/15/2022
Miken,MDC17A,DC-41 Supermax Denny Crine,1300,9/22/2017
Miken,MDC18A,DC-41,1300,10/24/2018
Miken,MDC18A-NAV,DC-41 Supermax - Navy,1300,1/6/2021
Miken,MDC20A,DC-41,1300,3/25/2020
Miken,MDC22A,Dc-41 Supermax,1300,1/28/2022
Miken,MDC41A,DC-41,1300,11/23/2016
Miken,MF20BA,Freak,1300,12/13/2017
Miken,MF20MA,Freak,1300,12/13/2017
Miken,MFDSSA,Freakadelic,1300,4/26/2021
Miken,MFK22A,Freak,1300,7/1/2022
Miken,MFK23A,Freak 23 Kyle Pearson,1050,9/22/2017
Miken,MFKUSA,Freak USA,1300,6/26/2019
Miken,MFRK3A,Freak 23,1050,7/1/2022
Miken,MGD21A,Freak Gold,1050,4/26/2021
Miken,MGOLDA,Freak Gold,1300,11/1/2019
Miken,MKP20A,Freak 23 - Kyle Pearson,1050,9/5/2019
Miken,MKP21A,Freak 23,1050,1/6/2021
Miken,MKP22A,Freak 23,1050,1/28/2022
Miken,MKP23A,Freak 23,1050,10/24/2019
Miken,MKP23A-RWB,Freak 23 - Kyle Pearson,1050,9/5/2019
Miken,MKPSAP,Freak 23,1050,1/28/2022
Miken,MP21BA,Freak Primo,1300,1/6/2021
Miken,MP21MA,Freak Primo,1300,1/6/2021
Miken,MP22BA,Freak Primo,1300,1/28/2022
Miken,MP22MA,Freak Primo,1300,1/28/2022
Miken,MPMOBA,Freak Primo Balanced,1300,11/1/2019
Miken,MPMOMA,Freak Primo Maxload,1300,11/1/2019
Miken,MPMOSA,Freak Primo Supermax,1300,11/1/2019
Miken,MPR12A,Freak Primo,1050,1/21/2019
Miken,MPRIBA,Freak Primo,1300,1/21/2019
Miken,MPRIMA,Freak Primo,1300,1/21/2019
Miken,MSA3CAB-26,Captain America,1050,7/15/2023
Miken,MSA3CAB-27,Captain America,1050,7/15/2023
Miken,MSA3CAB-28,Captain America,1050,7/12/2023
Miken,MSA3DCX,DC-41 XTRA,1300,6/24/2023
Miken,MSA3DPB-25,Dead Pool,1050,7/12/2023
Miken,MSA3DPB-26,Dead Pool,1050,7/12/2023
Miken,MSA3DPB-27,Dead Pool,1050,7/12/2023
Miken,MSA3FKGL,Freak Gold,1050,2/6/2023
Miken,MSA3FLKL,Freak Lucky,1050,11/25/2022
Miken,MSA3FPL,FRK Patriot,1300,6/24/2023
Miken,MSA3FUL,Freak Gold,1300,2/6/2023
Miken,MSA3KPL,Feak 23 KP,1050,11/25/2022
Miken,MSA3PRMB,Primo,1300,11/25/2022
Miken,MSA3PRMB-25.5,Primo,1050,2/6/2024
Miken,MSA3PRMB-26.5,Primo,1050,2/6/2024
Miken,MSA3PRMB-27.5,Primo,1050,2/6/2024
Miken,MSA3PRML,Primo,1300,11/26/2022
Miken,MSA3PRML-26,Primo Max,1050,10/22/2023
Miken,MSA3PRML-27,Primo Max,1050,10/22/2023
Miken,MSA3PRML-28,Primo Max,1050,10/22/2023
Miken,MSA4PPML-25,Primo,1050,2/6/2024
Miken,MSA4PPML-26,Pro M1 KP12,1050,2/6/2024
Miken,MSA4PPML-27,Pro M1 KP13,1050,2/6/2024
Miken,MSA4PPML-28,Pro M1 KP14,1050,2/6/2024
Miken,MSA4PRMB-25.5,Primo,1050,2/6/2024
Miken,MSA4PRMB-26.5,Primo,1050,2/6/2024
Miken,MSA4PRMB-27.5,Primo,1050,2/6/2024
Miken,MSA4PRML-26,Primo,1050,2/6/2024
Miken,MSA4PRML-27,Primo,1050,2/6/2024
Miken,MSA4PRML-28,Primo,1050,2/6/2024
Miken,MSA4SFHX-25,Superfreak Highlighter,1050,5/20/2024
Miken,MSA4SFHX-26,Superfreak Highlighter,1050,5/20/2024
Miken,MSA4SFHX-27,Superfreak Highlighter,1050,5/20/2024
Miken,MSA5AMDCB-25,DC-41,1050,3/4/2025
Miken,MSA5AMDCB-26,DC-41,1050,3/4/2025
Miken,MSA5AMDCB-27,DC-41,1050,3/4/2025
Miken,MSA5AMKPB-25,KP-23,1050,3/4/2025
Miken,MSA5AMKPB-26,KP-23,1050,3/4/2025
Miken,MSA5AMKPB-27,KP-23,1050,3/4/2025
Miken,MSA5FKDL-25,FREAK-A-DELIC,1050,3/4/2025
Miken,MSA5FKDL-26,FREAK-A-DELIC,1050,3/4/2025
Miken,MSA5FKDL-27,FREAK-A-DELIC,1050,3/4/2025
Miken,MSA5FRKB-25.5,FREAK,1050,3/4/2025
Miken,MSA5FRKB-26.5,FREAK,1050,3/4/2025
Miken,MSA5FRKB-27.5,FREAK,1050,3/4/2025
Miken,MSA5FRKL-26,FREAK,1050,3/4/2025
Miken,MSA5FRKL-27,FREAK,1050,3/4/2025
Miken,MSA5FRKL-28,FREAK,1050,3/4/2025
Miken,MSA5HBL-25,HB12 ICY,1050,3/4/2025
Miken,MSA5HBL-26,HB12 ICY,1050,3/4/2025
Miken,MSA5HBL-27,HB12 ICY,1050,3/4/2025
Miken,MSA5HBL-28,HB12 ICY,1050,3/4/2025
Miken,MSA5KPL-25,KP-23,1050,3/4/2025
Miken,MSA5KPL-26,KP-23,1050,3/4/2025
Miken,MSA5KPL-27,KP-23,1050,3/4/2025
Miken,MSA5KPL-28,KP-23,1050,3/4/2025
Miken,MSA5PRIDEB-25,FREAK WHITE,1050,3/4/2025
Miken,MSA5PRIDEB-26,FREAK WHITE,1050,3/4/2025
Miken,MSA5PRIDEB-27,FREAK WHITE,1050,3/4/2025
Miken,MSA5PRIDEL-25,FREAK BLACK,1100,2/25/2025
Miken,MSA5PRIDEL-26,FREAK BLACK,1100,3/4/2025
Miken,MSA5PRIDEL-27,FREAK BLACK,1100,3/4/2025
Miken,MSA5PRIDEL-28,FREAK BLACK,1050,3/4/2025
Miken,MSA5SFHX-25,SUPERFREAK HIGHLIGHTER,1050,3/4/2025
Miken,MSA5SFHX-26,SUPERFREAK HIGHLIGHTER,1050,3/4/2025
Miken,MSA5SFHX-27,SUPERFREAK HIGHLIGHTER,1050,3/4/2025
Miken,MSA5SISFZ-25,FREAKZILLA,1050,2/3/2025
Miken,MSA5SISFZ-26,FREAKZILLA,1050,2/3/2025
Miken,MSA5SISFZ-27,FREAKZILLA,1050,2/3/2025
Miken,MSA6DMSISL-25,FREAK - Dirty Money,1050,11/14/2025
Miken,MSA6DMSISL-26,FREAK - Dirty Money,1050,11/14/2025
Miken,MSA6DMSISL-27,FREAK - Dirty Money,1050,11/14/2025
Miken,MSA6FKPTB-26,FREAK PT,1200,11/11/2025
Miken,MSA6FKPTB,-27 FREAK PT,1200,11/11/2025
Miken,MSA6FKPTB,-28 FREAK PT,1200,11/11/2025
Miken,MSA6FRKB-25.5,FREAK,1200,11/14/2025
Miken,MSA6FRKB-25.6,FREAK,1200,11/14/2025
Miken,MSA6FRKB-25.7,FREAK,1200,11/14/2025
Miken,MSA6FRKL-26,FREAK,1200,11/14/2025
Miken,MSA6FRKL-27,FREAK,1200,11/14/2025
Miken,MSA6FRKL-28,FREAK,1200,11/14/2025
Miken,MSA6HBFL-25,HB12 Frosty,1100,11/14/2025
Miken,MSA6HBFL-26,HB12 Frosty,1100,11/14/2025
Miken,MSA6HBFL-27,HB12 Frosty,1100,11/14/2025
Miken,MSA6HBRL-25,HB12 RETRO,1100,11/14/2025
Miken,MSA6HBRL-26,HB12 RETRO,1100,11/14/2025
Miken,MSA6HBRL-27,HB12 RETRO,1100,11/14/2025
Miken,MSA6KPL-25,KP23,1100,11/14/2025
Miken,MSA6KPL-26,KP23,1100,11/11/2025
Miken,MSA6KPL-27,KP23,1100,11/11/2025
Miken,MSA6KPL-28,KP23,1100,11/11/2025
Miken,MSA6KP1L-25,KP23,1200,11/11/2025
Miken,MSA6KP1L-26,KP23,1200,11/11/2025
Miken,MSA6KP1L-27,KP23,1200,11/11/2025
Miken,MSA6KP1L-28,KP23,1200,11/11/2025
Miken,MSA6NKPL-25,KP24,1100,11/14/2025
Miken,MSA6NKPL-26,KP25,1100,11/14/2025
Miken,MSA6NKPL-27,KP26,1100,11/14/2025
Miken,MSA6PRIDEB-25,FREAK WHITE,1100,11/14/2025
Miken,MSA6PRIDEB-26,FREAK WHITE,1100,11/14/2025
Miken,MSA6PRIDEB-27,FREAK WHITE,1100,11/14/2025
Miken,MSA6PRIDEl-25,FREAK BLACK,1100,11/14/2025
Miken,MSA6PRIDEl-26,FREAK BLACK,1100,11/14/2025
Miken,MSA6PRIDEl-27,FREAK BLACK,1100,11/14/2025
Miken,MSA6PRIDEl-28,FREAK BLACK,1100,11/14/2025
Miken,MSISFZ,Freakzilla,1300,3/1/2018
Mizuno,340443,Ghost (-10),1400,1/18/2017
Mizuno,340444,Ghost (-9),1400,1/18/2017
Mizuno,340445,Ghost (-8),1400,1/18/2017
Mizuno,340471,F19-PWR CRBN (-10),1400,6/1/2023
Mizuno,340472,F19-PWR CRBN (-9),1400,6/1/2023
Mizuno,340548,Crush,1250,12/13/2019
Mizuno,340551,F21-PWR CRBN (-10),1400,6/1/2023
Mizuno,340552,F21-PWR CRBN (-9),1400,6/1/2023
Mizuno,340553,F21-PWR CRBN (-11),1400,6/1/2023
Mizuno,340603,PWRCRBN (-10),1400,2/20/2023
Mizuno,340604,PWRCRBN (-9),1400,2/20/2023
Mizuno,340605,PWRCRBN (-11),1400,2/20/2023
Mizuno,340665,F25-CRBN PRO (-10),1200,5/14/2024
Mizuno,340666,F25-CRBN PRO (-9),1200,5/14/2024
Mizuno,340667,F25-CRBN PRO (-11),1200,5/14/2024
Mizuno,340683,F25-CRBN PRO (-8),1200,5/14/2024
Mizuno,340690,F26-CRBN X (-10),1300,11/20/2025
Mizuno,340691,F26-CRBN X (-9),1300,11/20/2025
Mizuno,340692,F26-CRBN X (-8),1300,11/20/2025
Monsta,16FPDNAA2,DNA FP,1400,2/26/2016
Monsta,16SPBLCA1,Bombardier,1100,2/26/2016
Monsta,16SPTA2LC,Torch,1100,2/26/2016
Monsta,17FPTA2,Torch,1400,2/28/2017
Monsta,17SPBA1,Bombardier,1100,5/24/2017
Monsta,17SPBMA1,Boogieman LC,1050,2/28/2017
Monsta,17SPDNAM2A,DNA Mutated,1100,5/11/2017
Monsta,17SPTA2,Torch,1050,10/31/2016
Monsta,17SPWCM2A,WC Monsta Militia,1100,5/24/2017
Monsta,18FPM18-1,Torch,1400,1/8/2018
Monsta,18SPAV1,Adversity,950,9/27/2018
Monsta,18SPCGM2A,Cancer Sucks,1100,9/11/2018
Monsta,18SPDNAM2A,DNA Mutated,1100,12/13/2017
Monsta,18SPFA1,Fallout,1050,4/10/2018
Monsta,18SPFA1T,18 Fallout,1050,10/6/2022
Monsta,18SPFA2,Fallout,1050,3/9/2018
Monsta,18SPFA2T,Fallout,1050,1/7/2019
Monsta,18SPSA1,Sinister,1050,12/13/2017
Monsta,18SPTA2,Torch,1050,12/13/2017
Monsta,18SPWTA2,Wood Grain Torch,1050,7/1/2022
Monsta,19SPA3CA2,Chief,1050,3/18/2019
Monsta,19SPA3CA2S,Chief,1050,3/25/2020
Monsta,19SPA3CA2T,Chief,1050,3/18/2019
Monsta,19SPA3CA2Z,Chief,950,3/25/2020
Monsta,19SPA3H2,Heros,1050,8/9/2019
Monsta,19SPA3H2F,Heros,1050,8/9/2019
Monsta,19SPDC1A2,Daisy Cutter,1050,3/18/2019
Monsta,19SPGNA3A2,Get Nutz,1050,9/11/2018
Monsta,19SPSA1,Sinister,1050,3/18/2019
Monsta,19SPTA2,Torch,1050,9/11/2018
Monsta,19SPTA2F,Torch,1050,9/11/2018
Monsta,19SPTN2A,True North,1050,8/9/2019
Monsta,19SPZ1,Zombie,950,3/18/2019
Monsta,19SPZ1E,Zombie,1000,9/10/2019
Monsta,20FPHA24,Hype,1350,3/25/2020
Monsta,20FPM20A2,M-20,1400,9/10/2019
Monsta,20SP40MMA2F,40 Mike Mike,1050,9/8/2020
Monsta,20SP40MMA2T,40 Mike Mike,1050,9/14/2020
Monsta,20SPAAAPA2,Pride,1050,3/25/2020
Monsta,20SPAAAPA2F,Pride,1050,3/25/2020
Monsta,20SPBBA2,Bryson Brave,950,1/6/2021
Monsta,20SPBOUA2,Bounty Hunter,950,1/6/2021
Monsta,20SPBSA2,Black Sheep,950,11/27/2019
Monsta,20SPCA2,Cucuy,1050,9/14/2020
Monsta,20SPCA2D,Cucuy,1100,9/14/2020
Monsta,20SPCA2DC,Clack Addict,1100,9/14/2020
Monsta,20SPCA2S,Cucuy,1050,9/14/2020
Monsta,20SPCA2T,Clack Addict,1050,9/14/2020
Monsta,20SPCARBS,Carnage,950,1/6/2021
Monsta,20SPCARH,Carnage,1050,1/6/2021
Monsta,20SPCARS,Carnage,1050,1/6/2021
Monsta,20SPCDSA1,Dead Silence,1000,4/29/2023
Monsta,20SPCDSA2,Dead Silence,950,4/29/2023
Monsta,20SPDBCHA2,DBOC,1000,9/15/2021
Monsta,20SPDBCHBA2,DBOC,1000,9/15/2021
Monsta,20SPDBCSA1,DBOC,1050,9/15/2021
Monsta,20SPDBCTLA2,DBOC,1250,9/15/2021
Monsta,20SPDEPHB,Deplorables,1000,1/6/2021
Monsta,20SPDEPHEL,Deplorables,1000,1/6/2021
Monsta,20SPDSA1S,Dark Side,1050,4/26/2021
Monsta,20SPDSA2F,Dark Side,1050,4/26/2021
Monsta,20SPDSHELA2,Dark Side,1000,4/26/2021
Monsta,20SPDSTA2,Dark Side,1050,4/26/2021
Monsta,20SPEPA2T,El Patron,1050,4/26/2021
Monsta,20SPGN2A12,Get Nutz 2,950,7/15/2020
Monsta,20SPGN2A1S,Get Nutz 2,1050,7/15/2020
Monsta,20SPGN2A2F,Get Nutz 2,1050,7/15/2020
Monsta,20SPGN2A2T,Get Nutz 2,1050,9/14/2020
Monsta,20SPGSBA1Z,Bliss,1050,9/8/2020
Monsta,20SPGSBA2F,Bliss,1050,9/8/2020
Monsta,20SPGSBA2H,Bliss,1000,9/8/2020
Monsta,20SPH24A2B,Hype,1250,9/15/2021
Monsta,20SPH24A2B,Hype Balanced,1050,7/15/2020
Monsta,20SPH26A2,Lazer Hype,1000,7/15/2020
Monsta,20SPHA24,Hype,1050,2/17/2020
Monsta,20SPHBMADF,Mad Hatter,1050,7/15/2020
Monsta,20SPHBMADS,Mad Hatter,1050,11/25/2022
Monsta,20SPHBMADT,Mad Hatter,1050,9/14/2020
Monsta,20SPKA2,Banger,1050,3/25/2020
Monsta,20SPKA2F,Banger,1050,9/8/2020
Monsta,20SPL2A,Legend,1050,9/8/2020
Monsta,20SPNA1S,NAGAAA,1050,3/25/2020
Monsta,20SPNA1Z,NAGAAA,950,3/25/2020
Monsta,20SPNA2,NAGAAA,1050,3/25/2020
Monsta,20SPNA2F,NAGAAA,1050,3/25/2020
Monsta,20SPPA2,Psyborg,1000,9/8/2020
Monsta,20SPSKA2,Karma,1050,11/1/2019
Monsta,20SPSKA2F,Karma,1050,11/1/2019
Monsta,20SPTA2E,Torch Juiced,950,7/15/2020
Monsta,20SPTLA2,Torch Lite,1050,7/15/2020
Monsta,20SPWARA2,Warrior,950,1/6/2021
Monsta,20SPWHA2,Warthog,1050,9/3/2020
Monsta,21SP1DNALA2,21 DNA Legacy,1100,1/28/2022
Monsta,21SP2DNALA2,21 DNA Legacy,950,1/28/2022
Monsta,21SPAPOA1S,Apocapypse,1050,11/5/2021
Monsta,21SPAPOA2T,Apocapypse,1050,11/5/2021
Monsta,21SPAPOABS,Apocapypse,950,11/5/2021
Monsta,21SPBA1,Boogster,1050,7/12/2021
Monsta,21SPBALA2F,Ballistic,1050,9/15/2021
Monsta,21SPBHSA1S,Unleashed,1050,6/10/2021
Monsta,21SPBOMA1,Bombardier,1000,6/10/2021
Monsta,21SPBPTKOA1S,TKO,1050,9/15/2021
Monsta,21SPBPTKOA2BS,TKO,950,9/15/2021
Monsta,21SPBPTKOA2F,TKO,1050,9/15/2021
Monsta,21SPBPTKOA2T,TKO,1050,9/15/2021
Monsta,21SPBSA2B,Black Sheep,950,6/10/2021
Monsta,21SPBSA2EL,Black Sheep,950,6/10/2021
Monsta,21SPBUZA2T,Buzz,1050,9/15/2021
Monsta,21SPCARA1S,Carnage,1050,9/15/2021
Monsta,21-SPCLKBA1S,Clack Addict,1050,4/26/2021
Monsta,21-SPCLKBA2T,Clack Addict,1050,4/26/2021
Monsta,21SPCLKHOA1S,Clack-O-Holic,1050,7/12/2021
Monsta,21SPCLKHOA2T,Clack-O-Holic,1050,7/12/2021
Monsta,21-SPCLKPA1S,Clack Addict,1050,4/26/2021
Monsta,21-SPCLKPA2T,Clack Addict,1050,4/26/2021
Monsta,21SPCLKWA1S,Clack Addict,1050,7/12/2021
Monsta,21SPCLKWA2T,Clack Addict,1050,7/12/2021
Monsta,21-SPCLKYA1S,Clack Addict,1050,4/26/2021
Monsta,21-SPCLKYA2T,Clack Addict,1050,4/26/2021
Monsta,21SPCOMA2T,Comatose,1050,9/15/2021
Monsta,21SPDBOCA1B,DBOC,1000,9/15/2021
Monsta,21SPDBOCA1S,DBOC,1050,9/15/2021
Monsta,21SPDBOCA25,DBOC,1050,9/15/2021
Monsta,21SPDBOCA2BS,DBOC,950,9/15/2021
Monsta,21SPDBOCA2F,DBOC,1050,9/15/2021
Monsta,24SPCAA2T,24 Clack Addict,1050,6/24/2024
Monsta,21SPDESA1Z,21 Dead Silence,950,6/24/2024
Monsta,21SPDESA2BS,22 Dead Silence,1000,6/24/2024
Monsta,21SPDTFA1S,DTF,1050,11/5/2021
Monsta,21SPDTFA2T,DTF,1050,11/5/2021
Monsta,21SPFA2,Fallout,1050,9/15/2021
Monsta,21SPFALA2,Fallout Maroon,1050,9/15/2021
Monsta,21SPFEARA1S,Fearless,1050,7/12/2021
Monsta,21SPFEARA2T,Fearless,1050,7/12/2021
Monsta,21SPFMA2,Flip Money,950,9/15/2021
Monsta,21SPGOCA2,21 Game Only G.O.,950,11/5/2021
Monsta,21SPGSSSAAA1A,Grunt Style,1050,1/6/2021
Monsta,21SPGSTJAAA2A,Grunt Style,1050,1/6/2021
Monsta,21SPH26A2T,21 National Champs,1050,10/6/2022
Monsta,21SPHBBANOA2F,Banger Noir,1050,6/10/2021
Monsta,21SPHBBANOA2T,Banger Noir,1050,6/10/2021
Monsta,21SPHBUSA2F,Banger USA,1050,11/5/2021
Monsta,21SPHBUSA2T,Banger USA,1050,11/5/2021
Monsta,21SPINFA2BS,Infrared,950,9/15/2021
Monsta,21SPINSA2BS,Insidious,950,4/26/2021
Monsta,21SPINSA2T,Insidious,1050,4/26/2021
Monsta,21SPKTSA1S,Kiss the Sky,1050,6/10/2021
Monsta,21SPKTSA2BS,Kiss the Sky,950,6/10/2021
Monsta,21SPKTSA2F,Kiss the Sky,1050,6/10/2021
Monsta,21SPKTSA2T,Kiss the Sky,1050,6/10/2021
Monsta,21SPL2A,Legend,1050,9/15/2021
Monsta,21SPLAFA1S,La Familia,1050,9/15/2021
Monsta,21SPLAFA2BS,La Familia,950,9/15/2021
Monsta,21SPLAFA2F,La Familia,1050,9/15/2021
Monsta,21SPLAFA2T,La Familia,1050,9/15/2021
Monsta,21SPMA1,Molon Labe,1100,6/10/2021
Monsta,21SPMELA2BS,Mellifluous,950,4/26/2021
Monsta,21SPMHA1S,Most Hated,1050,11/5/2021
Monsta,21SPMHA2T,Most Hated,1050,11/5/2021
Monsta,21SPOMNA1B,Ominous,1000,11/5/2021
Monsta,21SPOMNA1S,Ominous,1050,11/5/2021
Monsta,21SPOMNA2BS,Ominous,950,4/26/2021
Monsta,21SPOMNA2F,Ominous,1050,11/5/2021
Monsta,21SPOMNA2T,Ominous,1050,11/5/2021
Monsta,21SPPREDA2T,Predator,1050,6/10/2021
Monsta,21SPPRIA1S,21 Pride,1050,1/28/2022
Monsta,21SPPRIA2BS,21 Pride,950,1/28/2022
Monsta,21SPPRIA2T,21 Pride,1050,1/28/2022
Monsta,21SPRAA1S,Allegiance,1050,9/15/2021
Monsta,21SPRAA2T,Allegiance,1050,9/15/2021
Monsta,21SPROTKA1S,Return of the King,1050,4/26/2021
Monsta,21SPROTKA2BS,Return of the King,950,4/26/2021
Monsta,21SPROTKA2F,Return of the King,1050,4/26/2021
Monsta,21SPROTKA2T,Return of the King,1050,4/26/2021
Monsta,21SPSCRA1S,Scream,1050,11/5/2021
Monsta,21SPSCRA2BS,Scream,950,11/5/2021
Monsta,21SPSCRA2T,Scream,1050,11/5/2021
Monsta,21SPSETORA2,Torch,1050,7/12/2021
Monsta,21SPSHUGA2BS,Splatter,950,4/26/2021
Monsta,21SPSKDA2T,Skud,1300,9/15/2021
Monsta,21SPSWA2D,Splittin Wigs,1100,11/5/2021
Monsta,21SPTA2,Torch,1050,7/12/2021
Monsta,21SPTEMPA1S,Temptress,1050,6/10/2021
Monsta,21SPTEMPA2BS,Temptress,950,6/10/2021
Monsta,21SPTEMPA2T,Temptress,1050,6/10/2021
Monsta,21SPTIOA1S,Tiyospaye,1050,9/15/2021
Monsta,21SPTIOA2BS,Tiyospaye,950,9/15/2021
Monsta,21SPTIOA2T,Tiyospaye,1050,9/15/2021
Monsta,21SPTOMA1S,Tomahawk,1050,11/5/2021
Monsta,21SPTOMA2BS,Tomahawk,950,11/5/2021
Monsta,21SPTOMA2T,Tomahawk,1050,11/5/2021
Monsta,21SPUNIMSA2T,Magic Stick,1050,9/15/2021
Monsta,21SPVALRA2BS,Valhalla,950,4/26/2021
Monsta,21SPVALTA2F,Valhalla,1050,4/26/2021
Monsta,21SPVALTA2T,Valhalla,1050,4/26/2021
Monsta,21SPWAYA1S,Waymaker,1050,4/26/2021
Monsta,21SPWAYA2T,Waymaker,1050,4/26/2021
Monsta,22FPH24A2,22 Fast Pitch Hype,1350,1/28/2022
Monsta,22SP888A1S,22 888,1050,7/1/2022
Monsta,22SP888A2BS,22 888,950,7/1/2022
Monsta,22SP888A2F,22 888,1050,7/1/2022
Monsta,22SP888A2T,22 888,1050,7/1/2022
Monsta,22SPACA1S,22 Agent of Chaos,1050,4/15/2022
Monsta,22SPACA2BS,22 Agent of Chaos,950,4/15/2022
Monsta,22SPACA2F,22 Agent of Chaos,1050,4/15/2022
Monsta,22SPACA2T,22 Agent of Chaos,1050,4/15/2022
Monsta,22SPALA2BS,22 Alpha,950,4/15/2022
Monsta,22SPALA2F,22 Alpha,1050,4/15/2022
Monsta,22SPALA2T,22 Alpha,1050,4/15/2022
Monsta,22SPATRA2T,22 All the rage,1050,11/25/2022
Monsta,22SPATRA2BS,23 All the rage,950,11/25/2022
Monsta,22SPAUA1S,22 Spectrum,1050,4/15/2022
Monsta,22SPAUA2BS,22 Spectrum,950,4/15/2022
Monsta,22SPAUA2F,22 Spectrum,1050,4/15/2022
Monsta,22SPAUA2T,22 Spectrum,1050,4/15/2022
Monsta,22SPBMA1,22 Gold Boogeyman,1050,3/4/2022
Monsta,22SPBROA2BS,Brotherhood,950,9/15/2021
Monsta,22SPBSA2,22 Black Sheep,950,1/28/2022
Monsta,22SPBUA2T,22 Butta,1050,1/28/2022
Monsta,22SPBWA2T,22 BLACK WIDOW,1050,11/7/2022
Monsta,22SPCARA1B,22 Carnage,1000,4/15/2022
Monsta,22SPCARA1S,22 Carnage,1050,4/15/2022
Monsta,22SPDBA2BS,22 DB44,950,4/15/2022
Monsta,22SPDBA2DC,22 DB44,1100,7/1/2022
Monsta,22SPDBA2F,22 DB44,1050,7/1/2022
Monsta,22SPDBA2T,22 DB44,1050,7/1/2022
Monsta,22SPDELA2T,22 Deliverance,1050,4/15/2022
Monsta,22SPFNDA1,22 Fiend,1050,7/1/2022
Monsta,22SPFNDA1S,22 Fiend,1050,7/29/2022
Monsta,22SPFNDA1Z,22 Fiend,1000,7/29/2022
Monsta,22SPFUA2T,22 Fuel,950,8/9/2022
Monsta,22SPGAMA2BS,22 Gambler,950,1/28/2022
